# gate	bias	idc	gx	gy	gr
0.936	5e-05	1.429540767e-11	2.559327273e-08	2.080063636e-07	2.095749578e-07
0.937	5e-05	1.76869957e-11	1.789454545e-08	2.058563636e-07	2.066326625e-07
0.938	5e-05	1.238794131e-11	1.359427273e-08	2.071736364e-07	2.076191702e-07
0.939	5e-05	1.786051504e-11	2.059954545e-08	2.096709091e-07	2.106804011e-07
0.94	5e-05	1.174056057e-11	2.802081818e-08	2.1085e-07	2.127037582e-07
0.941	5e-05	1.532226101e-11	2.850636364e-08	2.109190909e-07	2.128367348e-07
0.942	5e-05	1.192441924e-11	3.4055e-08	2.120290909e-07	2.147465446e-07
0.943	5e-05	1.542901718e-11	4.432009091e-08	2.156354545e-07	2.201429529e-07
0.944	5e-05	1.219490114e-11	4.813481818e-08	2.182018182e-07	2.234479675e-07
0.945	5e-05	1.499242014e-11	4.834290909e-08	2.182709091e-07	2.235603422e-07
0.946	5e-05	1.194007573e-11	4.9522e-08	2.128609091e-07	2.185456362e-07
0.947	5e-05	1.471796328e-11	4.896709091e-08	2.123063636e-07	2.17880169e-07
0.948	5e-05	1.230083134e-11	4.272490909e-08	2.132081818e-07	2.174468824e-07
0.949	5e-05	2.167959973e-11	4.3904e-08	2.154963636e-07	2.199232683e-07
0.95	5e-05	2.480636963e-11	8.815472727e-08	2.093236364e-07	2.271291278e-07
0.951	5e-05	1.697732824e-11	1.206836364e-07	1.9899e-07	2.327263633e-07
0.952	5e-05	1.336140181e-11	1.058409091e-07	2.0322e-07	2.29130239e-07
0.953	5e-05	1.544423856e-11	7.809781818e-08	2.107109091e-07	2.247183936e-07
0.954	5e-05	1.281202348e-11	5.479318182e-08	2.168145455e-07	2.236310352e-07
0.955	5e-05	1.552913612e-11	4.896709091e-08	2.182018182e-07	2.236287313e-07
0.956	5e-05	1.558994053e-11	4.619281818e-08	2.195890909e-07	2.243950652e-07
0.957	5e-05	1.565196176e-11	3.731490909e-08	2.178545455e-07	2.210271599e-07
0.958	5e-05	1.860261643e-11	3.585845455e-08	2.178545455e-07	2.20785941e-07
